article_title,country,lastrevid,article_quality,population,region
Jakob Gadolin,Finland,1097260549.0,Start,5.6,NORTHERN EUROPE
Mikhail Fyodorovich Ganskau,Finland,1051760370.0,Stub,5.6,NORTHERN EUROPE
Carl Axel Gottlund,Finland,1100912151.0,C,5.6,NORTHERN EUROPE
Lars Gabriel von Haartman,Finland,1113826495.0,Start,5.6,NORTHERN EUROPE
Ilkka Hakalehto,Finland,1106130121.0,Stub,5.6,NORTHERN EUROPE
Max Jakobson,Finland,1111495545.0,Start,5.6,NORTHERN EUROPE
Fritz Arthur Jusélius,Finland,1019712970.0,Stub,5.6,NORTHERN EUROPE
Aleksander von Kothen,Finland,1050404318.0,Stub,5.6,NORTHERN EUROPE
Paul Kraatz,Finland,1089806349.0,Stub,5.6,NORTHERN EUROPE
Antti Kuosmanen,Finland,1093737619.0,Stub,5.6,NORTHERN EUROPE
Carl Fabian Langenskiöld,Finland,1095875877.0,Stub,5.6,NORTHERN EUROPE
Reino Ragnar Lehto,Finland,1086802978.0,Stub,5.6,NORTHERN EUROPE
Keijo Liinamaa,Finland,1082695153.0,Start,5.6,NORTHERN EUROPE
Verner Lindberg,Finland,1113086506.0,Stub,5.6,NORTHERN EUROPE
Olavi Mäenpää,Finland,1113275201.0,Start,5.6,NORTHERN EUROPE
Nils Mustelin,Finland,1101309871.0,Start,5.6,NORTHERN EUROPE
Kirsi Piha,Finland,1011166320.0,Stub,5.6,NORTHERN EUROPE
Toivo Topias Pohjala,Finland,1113515295.0,Stub,5.6,NORTHERN EUROPE
Karl August Ramsay,Finland,1051401383.0,Stub,5.6,NORTHERN EUROPE
Elisabeth Rehn,Finland,1096605773.0,C,5.6,NORTHERN EUROPE
Eino S. Repo,Finland,1050674268.0,Start,5.6,NORTHERN EUROPE
Matti Saarinen,Finland,1099827826.0,Stub,5.6,NORTHERN EUROPE
Helvi Sipilä,Finland,1099355206.0,Start,5.6,NORTHERN EUROPE
Georg Magnus Sprengtporten,Finland,1113778414.0,Start,5.6,NORTHERN EUROPE
Jacob Magnus Sprengtporten,Finland,1113778594.0,C,5.6,NORTHERN EUROPE
Aleksander Strandman,Finland,1050404209.0,Stub,5.6,NORTHERN EUROPE
Christoffer Taxell,Finland,1096094038.0,Start,5.6,NORTHERN EUROPE
Heikki Heikinpoika Vaanila,Finland,1080391577.0,Stub,5.6,NORTHERN EUROPE
Jaana Vasama,Finland,1095884412.0,Stub,5.6,NORTHERN EUROPE
Miranda Vuolasranta,Finland,1106633718.0,Start,5.6,NORTHERN EUROPE
Nils Westermarck,Finland,1115832009.0,Start,5.6,NORTHERN EUROPE
Anders Wirenius,Finland,1049923720.0,Stub,5.6,NORTHERN EUROPE
Konni Zilliacus (senior),Finland,951511687.0,Start,5.6,NORTHERN EUROPE
Jean Poldo d'Albenas,France,1067933042.0,Stub,65.8,WESTERN EUROPE
Édouard André (art collector),France,1108055042.0,Start,65.8,WESTERN EUROPE
François-Gabriel d'Angeac,France,1063028734.0,C,65.8,WESTERN EUROPE
Auguste Louis Albéric d'Arenberg,France,1100525208.0,GA,65.8,WESTERN EUROPE
Hubert Astier,France,1104817709.0,Start,65.8,WESTERN EUROPE
Raymond-Max Aubert,France,1082744437.0,Stub,65.8,WESTERN EUROPE
Pierre-François Audry de Puyraveau,France,1041685091.0,GA,65.8,WESTERN EUROPE
Antoine Avinin,France,1114330738.0,Start,65.8,WESTERN EUROPE
Henri Barbet,France,1058537909.0,C,65.8,WESTERN EUROPE
Monique Barbut,France,1033584307.0,Start,65.8,WESTERN EUROPE
Umberto Battist,France,1100351289.0,Stub,65.8,WESTERN EUROPE
Jean-François Bazin,France,1103928744.0,Start,65.8,WESTERN EUROPE
"Marc de Beauvau, Prince of Craon",France,1103625797.0,Start,65.8,WESTERN EUROPE
Daniel Béguin,France,1092313908.0,Stub,65.8,WESTERN EUROPE
Soheib Bencheikh,France,1076962736.0,Start,65.8,WESTERN EUROPE
Jean-Pierre Berçot,France,1014505332.0,Stub,65.8,WESTERN EUROPE
Michel Berson,France,1035977192.0,Stub,65.8,WESTERN EUROPE
Georges Berthoin,France,1081106442.0,Stub,65.8,WESTERN EUROPE
Bertrand de La Chesnais,France,1082303676.0,Start,65.8,WESTERN EUROPE
Bertrand Nogaro,France,1082745594.0,Stub,65.8,WESTERN EUROPE
Franck Biancheri,France,1105481883.0,Start,65.8,WESTERN EUROPE
Olivier Bianchi,France,1110744540.0,C,65.8,WESTERN EUROPE
Adolphe Billault,France,1104724730.0,Start,65.8,WESTERN EUROPE
Jean Bonaventure Birotteau,France,1100907137.0,Start,65.8,WESTERN EUROPE
Pierre Philibert de Blancheton,France,1008128433.0,Stub,65.8,WESTERN EUROPE
Antoine Blondel,France,1016683924.0,Start,65.8,WESTERN EUROPE
Roland Bondonny,France,1095782494.0,Stub,65.8,WESTERN EUROPE
Gian Paolo Borghetti,France,1044208725.0,C,65.8,WESTERN EUROPE
Élisabeth Borne,France,1115491013.0,GA,65.8,WESTERN EUROPE
Paul Boudet,France,1097825452.0,Start,65.8,WESTERN EUROPE
Gérard Boulanger,France,1097825550.0,Stub,65.8,WESTERN EUROPE
Albert Bourderon,France,1067038452.0,C,65.8,WESTERN EUROPE
François Bourdon,France,1029331850.0,GA,65.8,WESTERN EUROPE
Anne du Bourg,France,1094440098.0,Start,65.8,WESTERN EUROPE
Raphaël Bouton,France,1105641399.0,Start,65.8,WESTERN EUROPE
Marie Bové,France,962575919.0,Stub,65.8,WESTERN EUROPE
"Alexandre Jean-Baptiste de Boyer, Marquis d'Éguilles",France,1078677061.0,GA,65.8,WESTERN EUROPE
Pierre Étienne Bourgeois de Boynes,France,782996380.0,Start,65.8,WESTERN EUROPE
Adolphe Brezet,France,1104663398.0,Stub,65.8,WESTERN EUROPE
Franck Briffaut,France,1103217675.0,Stub,65.8,WESTERN EUROPE
Barnabé Brisson,France,1093929154.0,Start,65.8,WESTERN EUROPE
"Victor-François, 8th duc de Broglie",France,1084041714.0,Stub,65.8,WESTERN EUROPE
Gilberte Brossolette,France,1070079491.0,Start,65.8,WESTERN EUROPE
Pierre Broussel,France,1050634478.0,Stub,65.8,WESTERN EUROPE
Michel Bruguier,France,1082745423.0,Start,65.8,WESTERN EUROPE
Dominique Bucchini,France,1061804332.0,Start,65.8,WESTERN EUROPE
Bureau de La Rivière,France,1105433275.0,Start,65.8,WESTERN EUROPE
Étienne-Laurent-Pierre Burnel,France,1082744694.0,Start,65.8,WESTERN EUROPE
Jean Capelle (politician),France,1067067425.0,Stub,65.8,WESTERN EUROPE
Léon Carcassonne,France,1007233683.0,Stub,65.8,WESTERN EUROPE
Pierre Cary,France,1050495074.0,Stub,65.8,WESTERN EUROPE
Ignace Caseneuve,France,1019146161.0,Start,65.8,WESTERN EUROPE
Charles Cassal,France,924509169.0,Stub,65.8,WESTERN EUROPE
Jacques la Caze,France,1109449561.0,Stub,65.8,WESTERN EUROPE
Max-Théodore Cerfberr,France,1039643142.0,Start,65.8,WESTERN EUROPE
Robert Chapuis,France,1107371389.0,Start,65.8,WESTERN EUROPE
Jean Charbonnel,France,969097582.0,Stub,65.8,WESTERN EUROPE
Jean Auguste de Chastenet de Puységur,France,1098455433.0,Stub,65.8,WESTERN EUROPE
Pierre-Jean-Baptiste Chaussard,France,982872895.0,Start,65.8,WESTERN EUROPE
Henri Philippe de Chauvelin,France,1067874732.0,Stub,65.8,WESTERN EUROPE
Armand Chouffet,France,1085636232.0,Start,65.8,WESTERN EUROPE
Pierre-Suzanne-Augustin Cochin,France,1026749529.0,Stub,65.8,WESTERN EUROPE
Colette Codaccioni,France,1014506054.0,Stub,65.8,WESTERN EUROPE
Édouard Colbert de Villacerf,France,1101166764.0,Stub,65.8,WESTERN EUROPE
Maurice Colrat,France,1035898437.0,Stub,65.8,WESTERN EUROPE
Honoré Commeurec,France,1082414528.0,C,65.8,WESTERN EUROPE
Corinne Bouchoux,France,1096232063.0,Start,65.8,WESTERN EUROPE
Jean Cotereau,France,1010731404.0,Start,65.8,WESTERN EUROPE
Paul Cotte,France,1050652500.0,Stub,65.8,WESTERN EUROPE
Georges Coulon,France,1097830070.0,Start,65.8,WESTERN EUROPE
Michel Craplet,France,1087935075.0,Stub,65.8,WESTERN EUROPE
Jacques Antoine Creuzé-Latouche,France,1097830813.0,C,65.8,WESTERN EUROPE
Pierre Daru,France,1084279564.0,Start,65.8,WESTERN EUROPE
Yves de Daruvar,France,1113513795.0,Stub,65.8,WESTERN EUROPE
Claude Alphonse Delangle,France,1097831850.0,Start,65.8,WESTERN EUROPE
Victor Denain,France,1005635886.0,Start,65.8,WESTERN EUROPE
Ernest Denis,France,1084137789.0,Stub,65.8,WESTERN EUROPE
Louis Grégoire Deschamps Destournelles,France,1011997337.0,C,65.8,WESTERN EUROPE
Martial Borye Desrenaudes,France,1067855906.0,Stub,65.8,WESTERN EUROPE
Éric Di Meco,France,1101972691.0,Start,65.8,WESTERN EUROPE
Henry Dorgères,France,1056023413.0,Stub,65.8,WESTERN EUROPE
Nicolas du Bosc,France,1067934529.0,Start,65.8,WESTERN EUROPE
Guillaume du Tillot,France,948072002.0,C,65.8,WESTERN EUROPE
Antoine du Verdier,France,1082744106.0,Stub,65.8,WESTERN EUROPE
Émile-Jules Dubois,France,1076271376.0,Start,65.8,WESTERN EUROPE
Lucien-Rene Duchesne,France,851199022.0,Stub,65.8,WESTERN EUROPE
Théodore Ducos,France,1058537128.0,Stub,65.8,WESTERN EUROPE
Édouard Dunglas,France,1067926801.0,C,65.8,WESTERN EUROPE
Olivier Dutheillet de Lamothe,France,1094204364.0,Stub,65.8,WESTERN EUROPE
Jean-Baptiste Duvergier,France,1097834473.0,C,65.8,WESTERN EUROPE
"Claude Louis d'Espinchal, marquis de Massiac",France,1101896910.0,Stub,65.8,WESTERN EUROPE
Auguste Louis Antoine Fabre,France,957313460.0,Stub,65.8,WESTERN EUROPE
Jules-François-Paul Fauris de Saint-Vincens,France,1105667020.0,Start,65.8,WESTERN EUROPE
Nasser Ramdane Ferradj,France,1100351389.0,Start,65.8,WESTERN EUROPE
Lucien Finel,France,1110536778.0,Stub,65.8,WESTERN EUROPE
Jacques Fournier (government official),France,1098598167.0,Start,65.8,WESTERN EUROPE
François II de Beauharnais,France,903067760.0,Stub,65.8,WESTERN EUROPE
Jean Frydman,France,1100352027.0,Start,65.8,WESTERN EUROPE
Xavier de Fürst,France,1056703720.0,Stub,65.8,WESTERN EUROPE
Charles Ganilh,France,1067808226.0,Start,65.8,WESTERN EUROPE
Agénor de Gasparin,France,1082162174.0,C,65.8,WESTERN EUROPE
Joseph Matthias Gérard de Rayneval,France,997745594.0,Start,65.8,WESTERN EUROPE
Charles Le Bègue de Germiny,France,1082744148.0,C,65.8,WESTERN EUROPE
Roland Giberti,France,955452341.0,Stub,65.8,WESTERN EUROPE
Georges Ginoux,France,1096065024.0,Stub,65.8,WESTERN EUROPE
Brigitte Girardin,France,1082744185.0,Start,65.8,WESTERN EUROPE
Olivier Giscard d'Estaing,France,1105690313.0,Start,65.8,WESTERN EUROPE
François Louis Auguste Goiran,France,1082744476.0,Stub,65.8,WESTERN EUROPE
Marie-Thérèse Goutmann,France,1026474883.0,Stub,65.8,WESTERN EUROPE
Madeleine de Grandmaison,France,1056746059.0,Stub,65.8,WESTERN EUROPE
Ernest Granger,France,1076592057.0,B,65.8,WESTERN EUROPE
Jean-Henry-Louis Greffulhe,France,1112230604.0,Stub,65.8,WESTERN EUROPE
Louis Grillot,France,1106686659.0,Stub,65.8,WESTERN EUROPE
Alain Griset,France,1089002351.0,Start,65.8,WESTERN EUROPE
Jules Gros (journalist),France,1093401635.0,Start,65.8,WESTERN EUROPE
Odette Grzegrzulka,France,1104771590.0,Start,65.8,WESTERN EUROPE
Guillaume IV de Melun,France,1067877319.0,Stub,65.8,WESTERN EUROPE
Joseph-Ignace Guillotin,France,1111272997.0,C,65.8,WESTERN EUROPE
Joseph Guinard,France,959651896.0,Stub,65.8,WESTERN EUROPE
Maurice d'Hartoy,France,995050241.0,Stub,65.8,WESTERN EUROPE
Guy Hascoët,France,1056747043.0,Stub,65.8,WESTERN EUROPE
"Charles Louis Bernard de Cléron, comte d'Haussonville",France,1067846753.0,Stub,65.8,WESTERN EUROPE
Paul Hay du Chastelet,France,997682962.0,Stub,65.8,WESTERN EUROPE
Louis-Étienne Héricart de Thury,France,1075236229.0,Start,65.8,WESTERN EUROPE
Édouard Hervé,France,1084277287.0,Start,65.8,WESTERN EUROPE
Philippe Hervieu,France,1092778353.0,Stub,65.8,WESTERN EUROPE
Prosper Hochet,France,1021076730.0,C,65.8,WESTERN EUROPE
"Charles Louis Huguet, marquis de Sémonville",France,1081082798.0,Start,65.8,WESTERN EUROPE
Georges Humann,France,1082744637.0,GA,65.8,WESTERN EUROPE
Philippe Hurault de Cheverny,France,1093422949.0,Stub,65.8,WESTERN EUROPE
Max Hymans,France,1044123593.0,Stub,65.8,WESTERN EUROPE
Laurent Jacobelli,France,1114706891.0,Start,65.8,WESTERN EUROPE
Jean-Pierre Gorges,France,1106117826.0,C,65.8,WESTERN EUROPE
Armand Félix Marie Jobbé-Duval,France,1082744075.0,C,65.8,WESTERN EUROPE
Édouard Jonas,France,1042856307.0,C,65.8,WESTERN EUROPE
Jean Kaltenbach,France,1100351334.0,Stub,65.8,WESTERN EUROPE
Philippe Karsenty,France,1114892620.0,C,65.8,WESTERN EUROPE
Pierre-Charles Krieg,France,1102306848.0,Start,65.8,WESTERN EUROPE
Étienne de La Grange,France,1067940807.0,Stub,65.8,WESTERN EUROPE
"François-René de La Tour du Pin Chambly, marquis de La Charce",France,1067646077.0,C,65.8,WESTERN EUROPE
Guillaume-Xavier Labbey de Pompières,France,1041683862.0,GA,65.8,WESTERN EUROPE
Joachim Labrouche,France,1056915263.0,Stub,65.8,WESTERN EUROPE
Suzanne Lacore,France,1110950805.0,C,65.8,WESTERN EUROPE
Jean-Baptiste Lacoste,France,1056915372.0,Start,65.8,WESTERN EUROPE
Chrétien François de Lamoignon de Basville,France,1042575253.0,Stub,65.8,WESTERN EUROPE
Antoine-Adrien Lamourette,France,1068403285.0,Start,65.8,WESTERN EUROPE
Hyacinthe Gaëtan de Lannion,France,1083146472.0,Stub,65.8,WESTERN EUROPE
Louis Lareng,France,1108483794.0,Stub,65.8,WESTERN EUROPE
Hippolyte Laroche,France,1016084594.0,Start,65.8,WESTERN EUROPE
Marc David Alba Lasource,France,1079932605.0,Start,65.8,WESTERN EUROPE
Lucien Le Foyer,France,1097841196.0,C,65.8,WESTERN EUROPE
Jean Le Mercier,France,1067920653.0,Start,65.8,WESTERN EUROPE
Patrick Leclercq,France,1094044508.0,Start,65.8,WESTERN EUROPE
Adrien de Lezay-Marnésia,France,1067876372.0,Stub,65.8,WESTERN EUROPE
Gustave Lhopiteau,France,1047972863.0,Stub,65.8,WESTERN EUROPE
Eric Loiselet,France,1082744804.0,Stub,65.8,WESTERN EUROPE
David Lorion,France,1094475527.0,Stub,65.8,WESTERN EUROPE
Charles Luca,France,1056918597.0,Stub,65.8,WESTERN EUROPE
Jean-Baptiste Mailhe,France,1106110853.0,Start,65.8,WESTERN EUROPE
Jacques-Antoine Manuel,France,1092028739.0,Start,65.8,WESTERN EUROPE
Jacques Marquet de Montbreton de Norvins,France,1034252351.0,Stub,65.8,WESTERN EUROPE
Damien de Martel,France,1087438466.0,Stub,65.8,WESTERN EUROPE
Henri Martin (winemaker),France,1067813083.0,Start,65.8,WESTERN EUROPE
Philippe Massoni,France,1097454062.0,Stub,65.8,WESTERN EUROPE
Jean Mattéoli,France,1095618313.0,Start,65.8,WESTERN EUROPE
Charlemagne de Maupas,France,1058537657.0,C,65.8,WESTERN EUROPE
Jeanne Mélin,France,1067041266.0,C,65.8,WESTERN EUROPE
Émile-Justin Menier,France,1107107209.0,Start,65.8,WESTERN EUROPE
Paul Mentré,France,1115036455.0,Start,65.8,WESTERN EUROPE
Jean Ernest Mercier,France,1060089304.0,Start,65.8,WESTERN EUROPE
Dominique Meyer,France,1096058170.0,Start,65.8,WESTERN EUROPE
Daniel Mio,France,1101221150.0,Start,65.8,WESTERN EUROPE
Bon-Adrien Jeannot de Moncey,France,1058640914.0,Start,65.8,WESTERN EUROPE
Joseph François Augustin Monneron,France,883964038.0,Stub,65.8,WESTERN EUROPE
Gérard Montassier,France,1100353450.0,Start,65.8,WESTERN EUROPE
Guillaume-Isidore Baron de Montbel,France,1011997346.0,C,65.8,WESTERN EUROPE
Jean Baptiste Antoine Auget de Montyon,France,1067722137.0,Start,65.8,WESTERN EUROPE
Yvon Morandat,France,1107595141.0,C,65.8,WESTERN EUROPE
Bernard Morel (economist),France,1098804764.0,Stub,65.8,WESTERN EUROPE
Alex Moscovitch,France,1069907006.0,Start,65.8,WESTERN EUROPE
Ilham Moussaïd,France,1099922454.0,Stub,65.8,WESTERN EUROPE
Lionel de Moustier,France,1082391687.0,C,65.8,WESTERN EUROPE
Simon Nora,France,1082168099.0,C,65.8,WESTERN EUROPE
Albert Ollivier,France,1084584916.0,Stub,65.8,WESTERN EUROPE
Érik Orsenna,France,1081472130.0,Start,65.8,WESTERN EUROPE
Louis Pailhas,France,1112614011.0,Start,65.8,WESTERN EUROPE
Philippe Paolantoni,France,1100822300.0,Stub,65.8,WESTERN EUROPE
Alexandre Parodi,France,1114330360.0,C,65.8,WESTERN EUROPE
Pierre Pasquini,France,1049369444.0,Stub,65.8,WESTERN EUROPE
Constantin Pecqueur,France,1107566909.0,B,65.8,WESTERN EUROPE
Hélène Pelosse,France,1040666223.0,Start,65.8,WESTERN EUROPE
François-Xavier de Peretti,France,1050652439.0,Stub,65.8,WESTERN EUROPE
Joseph Périer,France,1111580311.0,GA,65.8,WESTERN EUROPE
Victor Perret,France,1014506148.0,C,65.8,WESTERN EUROPE
Marc Perrin de Brichambaut,France,1095867371.0,Start,65.8,WESTERN EUROPE
Marcel Petiot,France,1111961176.0,C,65.8,WESTERN EUROPE
Henri Peyroux de la Coudrenière,France,939917134.0,Start,65.8,WESTERN EUROPE
"Louis Phélypeaux, comte de Saint-Florentin",France,1067590832.0,Start,65.8,WESTERN EUROPE
"Louis Phélypeaux, marquis de La Vrillière",France,1067707780.0,Stub,65.8,WESTERN EUROPE
"Louis Phélypeaux, seigneur de La Vrillière",France,1067769050.0,Stub,65.8,WESTERN EUROPE
Hajasoa Vololona Picard,France,1070552905.0,Start,65.8,WESTERN EUROPE
Louis Pierna,France,1106902703.0,Stub,65.8,WESTERN EUROPE
Pierre Ferri-Pisani,France,1105248262.0,C,65.8,WESTERN EUROPE
Ernest Pinard,France,1097917556.0,C,65.8,WESTERN EUROPE
Christophe Porquier,France,1070642143.0,Stub,65.8,WESTERN EUROPE
Antoine Portail,France,1034304794.0,Start,65.8,WESTERN EUROPE
Michel Pouzol,France,1050936152.0,Stub,65.8,WESTERN EUROPE
Henri Pozzi,France,1044712445.0,Stub,65.8,WESTERN EUROPE
Rodolphe Prager,France,1083697354.0,Start,65.8,WESTERN EUROPE
Francis de Pressensé,France,1109074521.0,Start,65.8,WESTERN EUROPE
Angèle Préville,France,1090314219.0,Start,65.8,WESTERN EUROPE
Gabriel Puaux,France,1014505899.0,Stub,65.8,WESTERN EUROPE
"Jean-Pierre Casimir de Marcassus, Baron de Puymaurin",France,1028266238.0,Stub,65.8,WESTERN EUROPE
Jean-Marie Rausch,France,1112230445.0,Stub,65.8,WESTERN EUROPE
Jean Reboul,France,1078446564.0,Stub,65.8,WESTERN EUROPE
Marie Roch Louis Reybaud,France,1033977038.0,Stub,65.8,WESTERN EUROPE
René Ribière,France,1041685164.0,Stub,65.8,WESTERN EUROPE
Antoine Richard du Cantal,France,1014225041.0,C,65.8,WESTERN EUROPE
Marthe Richard,France,1099050150.0,GA,65.8,WESTERN EUROPE
Philippe Rio,France,1104409292.0,Start,65.8,WESTERN EUROPE
Jean Gabriel Maurice Rocques,France,1084299616.0,Start,65.8,WESTERN EUROPE
Joseph Romain-Desfossés,France,1104367647.0,Start,65.8,WESTERN EUROPE
José Rossi,France,1057534232.0,Stub,65.8,WESTERN EUROPE
Sandrine Rousseau,France,1114415628.0,C,65.8,WESTERN EUROPE
Alexandre Rousselin de Saint-Albin,France,1084300380.0,Start,65.8,WESTERN EUROPE
Ernest de Royer,France,1097929651.0,Start,65.8,WESTERN EUROPE
"Armand Charles Emmanuel Guignard, comte de Saint-Priest",France,1100727957.0,Stub,65.8,WESTERN EUROPE
Jean Sauvage,France,1026702472.0,Stub,65.8,WESTERN EUROPE
Jean-Baptiste Say,France,1115511726.0,C,65.8,WESTERN EUROPE
Lucile Schmid,France,1114853737.0,Start,65.8,WESTERN EUROPE
Michel Souplet,France,1102390019.0,Stub,65.8,WESTERN EUROPE
Anton Carl Ludwig von Tabouillot,France,968436799.0,Start,65.8,WESTERN EUROPE
Claude Taleb,France,1057709881.0,Stub,65.8,WESTERN EUROPE
François-Alexandre Tardiveau,France,1097931338.0,Stub,65.8,WESTERN EUROPE
Jean Tavernier,France,1102536154.0,Stub,65.8,WESTERN EUROPE
Pierre Edmond Teisserenc de Bort,France,1082741642.0,Start,65.8,WESTERN EUROPE
François Auguste de Thou,France,1068356846.0,Stub,65.8,WESTERN EUROPE
Jacques-Alexis Thuriot de la Rosière,France,1079933261.0,C,65.8,WESTERN EUROPE
Lionel Tivoli,France,1111142368.0,Start,65.8,WESTERN EUROPE
Jean-Michel Tobie,France,1057711903.0,Stub,65.8,WESTERN EUROPE
Charles de Varigny,France,1074726624.0,C,65.8,WESTERN EUROPE
Henri-Auguste-Georges du Vergier,France,1093617817.0,Stub,65.8,WESTERN EUROPE
Gaston Vidal,France,985470476.0,Stub,65.8,WESTERN EUROPE
Jean-Paul-Alban Villeneuve-Barcement,France,1101593671.0,Stub,65.8,WESTERN EUROPE
Adolphe Vuitry,France,1104724822.0,GA,65.8,WESTERN EUROPE
Laurent Wetzel,France,1100263797.0,Start,65.8,WESTERN EUROPE
Charles Emile Wickersheimer,France,1055444494.0,C,65.8,WESTERN EUROPE
Fred Zeller,France,1084196242.0,Start,65.8,WESTERN EUROPE
Éric Zemmour,France,1112562821.0,GA,65.8,WESTERN EUROPE
Jean-Marie Zoellé,France,1104091453.0,Start,65.8,WESTERN EUROPE
Jean Zyromski,France,1086798723.0,B,65.8,WESTERN EUROPE
Mathurin Anghiley,Gabon,1025291924.0,Stub,2.4,MIDDLE AFRICA
Jean-Hilaire Aubame,Gabon,1105996544.0,GA,2.4,MIDDLE AFRICA
Paul Gondjout,Gabon,1105996818.0,GA,2.4,MIDDLE AFRICA
Erlyne Antonella Ndembet,Gabon,1100454050.0,Stub,2.4,MIDDLE AFRICA
Estelle Ondo,Gabon,1107214410.0,Stub,2.4,MIDDLE AFRICA
Ida Reteno Assonouet,Gabon,1053608075.0,Stub,2.4,MIDDLE AFRICA
Abou Karamba Kassamba,Gambia,1109005014.0,Stub,2.7,WESTERN AFRICA
Ajaaratou Satang Jow,Gambia,1096298330.0,Stub,2.7,WESTERN AFRICA
Amie Bojang-Sissoho,Gambia,1088360793.0,Start,2.7,WESTERN AFRICA
Abdoulie Bojang,Gambia,1009847235.0,Stub,2.7,WESTERN AFRICA
Buba Samura,Gambia,1109005820.0,Stub,2.7,WESTERN AFRICA
Fatou Sanyang Kinteh,Gambia,1112551531.0,Start,2.7,WESTERN AFRICA
Mai Fatty,Gambia,1113100028.0,Stub,2.7,WESTERN AFRICA
Omar Gassama,Gambia,1061724992.0,Stub,2.7,WESTERN AFRICA
Modou Bamba Gaye,Gambia,1009847195.0,Stub,2.7,WESTERN AFRICA
Amadou Scattred Janneh,Gambia,1059365217.0,C,2.7,WESTERN AFRICA
Fabakary Jatta,Gambia,1086017014.0,Start,2.7,WESTERN AFRICA
Joseph Henry Joof,Gambia,1099209990.0,Stub,2.7,WESTERN AFRICA
Kunda Kamara,Gambia,1113498194.0,Stub,2.7,WESTERN AFRICA
Lucretia St. Clair Joof,Gambia,1063074971.0,Stub,2.7,WESTERN AFRICA
Muhammed Magassy,Gambia,1009849522.0,Start,2.7,WESTERN AFRICA
Basiru Mahoney,Gambia,1099211698.0,Start,2.7,WESTERN AFRICA
Alieu Badara Njie,Gambia,1021130685.0,Start,2.7,WESTERN AFRICA
Momodou Sabally,Gambia,1091668111.0,Stub,2.7,WESTERN AFRICA
Lamin Saine,Gambia,1018074300.0,Start,2.7,WESTERN AFRICA
Pap Cheyassin Secka,Gambia,1112373531.0,C,2.7,WESTERN AFRICA
Alieu Badara Saja Taal,Gambia,1112551276.0,Stub,2.7,WESTERN AFRICA
Zaur Ardzinba,Georgia,1089310400.0,Start,3.7,WESTERN ASIA
Gennadi Berulava,Georgia,919556858.0,Stub,3.7,WESTERN ASIA
Mikhail Bgazhba,Georgia,1060118428.0,Stub,3.7,WESTERN ASIA
Samson Chanba,Georgia,963109084.0,Start,3.7,WESTERN ASIA
Efrem Eshba,Georgia,1001303004.0,Stub,3.7,WESTERN ASIA
Almas Japua,Georgia,949821890.0,Start,3.7,WESTERN ASIA
Batal Kobakhia,Georgia,944899943.0,Stub,3.7,WESTERN ASIA
Valerian Kobakhia,Georgia,1113808003.0,Stub,3.7,WESTERN ASIA
Nestor Lakoba,Georgia,1105224625.0,FA,3.7,WESTERN ASIA
Sumbat Saakian,Georgia,1046266028.0,Stub,3.7,WESTERN ASIA
Shota Shamatava,Georgia,723736482.0,Stub,3.7,WESTERN ASIA
Bagrat Shinkuba,Georgia,1084452914.0,Start,3.7,WESTERN ASIA
Werner E. Ablaß,Germany,1100348263.0,Start,83.3,WESTERN EUROPE
Karl Gustav Ackermann,Germany,1000117915.0,Start,83.3,WESTERN EUROPE
Shqiprim Arifi,Germany,1082363143.0,Start,83.3,WESTERN EUROPE
Rudi Arndt,Germany,1107533445.0,Start,83.3,WESTERN EUROPE
Rudolf Bahro,Germany,1107876591.0,C,83.3,WESTERN EUROPE
Otto Ballerstedt,Germany,1113203053.0,C,83.3,WESTERN EUROPE
Joachim Otto von Bassewitz,Germany,1093387234.0,Start,83.3,WESTERN EUROPE
Bruno Baum,Germany,1084699735.0,C,83.3,WESTERN EUROPE
Karl Theodor Bayrhoffer,Germany,1083425343.0,C,83.3,WESTERN EUROPE
Otto Beck,Germany,961688162.0,Start,83.3,WESTERN EUROPE
Klaus Bernbacher,Germany,1043818216.0,C,83.3,WESTERN EUROPE
Gerhard Besier,Germany,1085857797.0,C,83.3,WESTERN EUROPE
Georg von Blumenthal,Germany,1069224768.0,Start,83.3,WESTERN EUROPE
Johann Christian von Boyneburg,Germany,1068219706.0,Stub,83.3,WESTERN EUROPE
Kristin Brinker,Germany,1079038395.0,Stub,83.3,WESTERN EUROPE
Rudolf Brinkmann (economist),Germany,1102950546.0,Start,83.3,WESTERN EUROPE
Wolfram Brück,Germany,1112976357.0,Start,83.3,WESTERN EUROPE
Heinrich von Brühl,Germany,1108940872.0,C,83.3,WESTERN EUROPE
Ignatz Bubis,Germany,1097419085.0,C,83.3,WESTERN EUROPE
Stephan von Dassel,Germany,1105055233.0,Stub,83.3,WESTERN EUROPE
Karamba Diaby,Germany,1112293494.0,C,83.3,WESTERN EUROPE
John Ehret,Germany,1105466617.0,Start,83.3,WESTERN EUROPE
Karl Eichfeld,Germany,1074867565.0,Stub,83.3,WESTERN EUROPE
Dieter Engels,Germany,1096417332.0,Stub,83.3,WESTERN EUROPE
Christian Wilhelm Karl Ewald,Germany,721838555.0,Stub,83.3,WESTERN EUROPE
Christian August von Eyben,Germany,1034821660.0,Start,83.3,WESTERN EUROPE
Georg Fein,Germany,1083507112.0,Start,83.3,WESTERN EUROPE
Heinrich Fleißner,Germany,1069865479.0,Start,83.3,WESTERN EUROPE
